Requirement,Label,Reason,Corrected_Requirement
The system shall have robust security features.,YES,"The term 'robust' is subjective and does not specify which security mechanisms, standards, or tests must be passed.",The system shall implement [INSERT_VALUE]-bit AES encryption for all data at rest and pass OWASP Top 10 automated security scans with zero critical findings.
The user interface should be very user-friendly.,YES,The phrase 'very user-friendly' is subjective and not measurable. It lacks specific metrics for usability.,[INSERT_PERCENTAGE] of first-time users shall complete the 'Create New Account' task within [INSERT_TIME] without consulting help documentation.
The database should support many concurrent users.,YES,The phrase 'support many concurrent users' is vague and lacks a quantifiable limit for concurrent connections or transaction rate.,The database shall maintain an average response time of less than [INSERT_TIME] for read operations while supporting [INSERT_VALUE] simultaneous active users.
The API response time must be fast.,YES,The word 'fast' is not a quantifiable time metric. It's impossible to objectively test if this requirement is met.,[INSERT_PERCENTAGE] of all API requests shall receive a response from the server within [INSERT_TIME].
The system shall immediately notify administrators of critical failures.,YES,The word 'immediately' is non-quantifiable. The maximum acceptable delay for notification is not specified.,The system shall send an alert notification to system administrators within [INSERT_TIME] of detecting a P1-level critical failure.
All critical data must be securely stored.,YES,"The term 'securely stored' is vague. It doesn't specify the encryption standard, physical security level, or access control required.",All critical user data shall be encrypted using TLS 1.3 during transmission and stored in a database encrypted with a FIPS [INSERT_VALUE]-2 validated module.
The reporting feature should provide a lot of data.,YES,"The phrase 'a lot of data' is not quantifiable. It doesn't specify the number of fields, records, or data sources to be included.","The sales report shall include data for the last 5 fiscal years, covering at least 15 key performance indicators (KPIs) per year."
The application must run reliably.,YES,The term 'reliably' is subjective and lacks a specific uptime percentage or acceptable failure rate.,"The application shall maintain an uptime of [INSERT_PERCENTAGE] per calendar quarter, excluding scheduled maintenance."
The search function needs to be improved.,YES,The phrase 'needs to be improved' provides no measurable baseline or target metric for what constitutes an improvement.,The search function recall rate for the top [INSERT_VALUE] most frequent queries shall increase from the current [INSERT_PERCENTAGE] to [INSERT_PERCENTAGE].
The user shall have a pleasant experience.,YES,The phrase 'pleasant experience' is subjective and cannot be objectively measured or tested.,The Net Promoter Score (NPS) measured from in-app surveys shall not fall below +40 for any three-month period.
The system shall accept common file formats.,YES,The phrase 'common file formats' is ambiguous. It doesn't list the specific file types that are accepted.,"The system shall accept file uploads in the following formats: PDF, DOCX, XLSX, and CSV."
The API must handle large requests.,YES,The phrase 'handle large requests' is vague. The maximum size of an acceptable request body is not defined.,The API shall successfully process POST requests with a payload size of up to [INSERT_SIZE].
The application should support localization well.,YES,The adverb 'well' is subjective. It does not specify the number of languages or the scope of content to be localized.,"The application shall support full localization for English, Spanish, French, and German, including all UI text and error messages."
The backup process should not take too long.,YES,The phrase 'not take too long' is non-quantifiable. The maximum allowed duration for the backup process is not specified.,The full daily database backup process shall be completed within [INSERT_TIME].
The system should be easily maintainable.,YES,The term 'easily maintainable' is subjective and lacks a specific metric like code complexity or defect resolution time.,"The system's average Cyclomatic Complexity shall not exceed 10, and critical defects shall be resolved within [INSERT_TIME]."
The login screen shall look professional.,YES,The adjective 'professional' is subjective and lacks specific design guidelines or user satisfaction metrics.,The login screen shall adhere to the company's official brand guidelines (version 2.1) and pass an accessibility audit (WCAG 2.1 Level AA).
The caching mechanism must be highly efficient.,YES,The phrase 'highly efficient' is vague. It doesn't specify the required cache hit ratio or reduction in database load.,The caching mechanism shall achieve a cache-hit ratio of [INSERT_PERCENTAGE] or higher during peak load (10:00 AM - 12:00 PM EST).
The user must be able to customize things.,YES,The noun 'things' is ambiguous. The specific elements or settings the user can customize are not listed.,"The user shall be able to customize the following settings: theme color (dark/light), default dashboard view, and notification preferences."
The application should provide good accessibility.,YES,"The phrase 'good accessibility' is subjective and does not reference a specific, testable standard.",The application shall meet the Web Content Accessibility Guidelines (WCAG) 2.1 Level AA standard.
The system should scale nicely.,YES,The phrase 'scale nicely' is vague. It doesn't specify the desired performance metrics under increased load.,The system shall support a [INSERT_PERCENTAGE] increase in user traffic over a 12-month period without a response time increase greater than [INSERT_PERCENTAGE].
Data migration must be seamless.,YES,The term 'seamless' is subjective. It needs a quantifiable measure of user impact or data loss tolerance.,The data migration process shall result in zero data loss and shall not require system downtime exceeding [INSERT_TIME].
The audit log needs to be detailed.,YES,"The term 'detailed' is subjective. The specific events, data points, or retention period required for the log are missing.","The audit log shall capture the User ID, Timestamp (to the second), Action Performed, and IP Address for all data modification operations, and be retained for 1 year."
The search results must be relevant.,YES,The term 'relevant' is subjective and not measurable. It lacks a specific metric for search result quality.,The mean Average Precision (mAP) for the top 10 search results shall be 0.85 or greater.
The service should have high availability.,YES,The phrase 'high availability' is non-quantifiable. A specific uptime percentage or service level objective (SLO) is needed.,The service shall have a minimum monthly availability of [INSERT_PERCENTAGE].
The API must use secure protocols.,YES,The phrase 'secure protocols' is ambiguous. It doesn't specify the required version or standard.,The API shall exclusively use HTTPS with TLS 1.2 or higher for all communication.
"The database shall store the user's name, email, and hashed password.",NO,,"The database shall store the user's name, email, and hashed password."
The user shall be able to upload a profile picture file size not exceeding 5MB.,NO,,The user shall be able to upload a profile picture file size not exceeding 5MB.
The application shall use OAuth 2.0 for all third-party authentication.,NO,,The application shall use OAuth 2.0 for all third-party authentication.
The system shall allow a maximum of 3 failed login attempts before locking the account for 15 minutes.,NO,,The system shall allow a maximum of 3 failed login attempts before locking the account for 15 minutes.
The homepage shall display exactly 5 featured items in a rotating carousel.,NO,,The homepage shall display exactly 5 featured items in a rotating carousel.
All server logs shall be rotated daily and archived for a minimum of 90 days.,NO,,All server logs shall be rotated daily and archived for a minimum of 90 days.
The system shall process a minimum of 100 transactions per second (TPS) during peak hours.,NO,,The system shall process a minimum of 100 transactions per second (TPS) during peak hours.
"The password field shall require a minimum of 8 characters, including at least one uppercase letter and one number.",NO,,"The password field shall require a minimum of 8 characters, including at least one uppercase letter and one number."
The system shall utilize two-factor authentication (2FA) for all administrator accounts.,NO,,The system shall utilize two-factor authentication (2FA) for all administrator accounts.
The user session shall automatically time out after 30 minutes of inactivity.,NO,,The user session shall automatically time out after 30 minutes of inactivity.
The API documentation shall be hosted on a separate subdomain at api-docs.example.com.,NO,,The API documentation shall be hosted on a separate subdomain at api-docs.example.com.
The payment gateway integration must adhere to PCI DSS version 3.2.1 compliance standards.,NO,,The payment gateway integration must adhere to PCI DSS version 3.2.1 compliance standards.
The application shall support the display of product prices in USD and EUR.,NO,,The application shall support the display of product prices in USD and EUR.
All forms shall be validated client-side to ensure all required fields are populated before submission.,NO,,All forms shall be validated client-side to ensure all required fields are populated before submission.
The database primary keys shall be 64-bit integers.,NO,,The database primary keys shall be 64-bit integers.
The scheduled job for data aggregation shall run every day at 02:00 AM UTC.,NO,,The scheduled job for data aggregation shall run every day at 02:00 AM UTC.
The system shall display a '404 Not Found' error page for any invalid URL.,NO,,The system shall display a '404 Not Found' error page for any invalid URL.
The system shall use port 443 for all external communication.,NO,,The system shall use port 443 for all external communication.
The system shall maintain a record of all configuration changes for a minimum of 180 days.,NO,,The system shall maintain a record of all configuration changes for a minimum of 180 days.
